SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
321486,Cash loans,F,N,Y,0,112500.0,495000.0,28548.0,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-19959,-3187,-15102.0,-3506,,1,1,1,1,0,0,Sales staff,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,Self-employed,0.6064562114215812,0.535895795079428,0.6479768603302221,0.1299,0.1069,0.9796,0.728,0.0528,0.0,0.2759,0.1667,0.2083,0.0555,0.1,0.1091,0.0039,0.0152,0.1355,0.1109,0.9791,0.7387,0.0533,0.0,0.2759,0.1667,0.2083,0.0568,0.1093,0.1108,0.0039,0.0,0.1343,0.1069,0.9796,0.7316,0.0531,0.0,0.2759,0.1667,0.2083,0.0565,0.1018,0.109,0.0039,0.0,reg oper account,block of flats,0.0836,Panel,No,1.0,0.0,1.0,0.0,-556.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
233797,Cash loans,F,N,Y,0,157500.0,621900.0,39874.5,562500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.031329,-17055,-634,-1558.0,-606,,1,1,0,1,0,0,,1.0,2,2,SATURDAY,11,0,0,0,0,0,0,Other,,0.6158874524675961,0.511891801533151,0.0619,0.0624,0.9762,0.6736,0.0089,0.0,0.1379,0.1667,0.2083,0.0385,0.0504,0.0521,0.0,0.0,0.063,0.0647,0.9762,0.6864,0.0089,0.0,0.1379,0.1667,0.2083,0.0394,0.0551,0.0543,0.0,0.0,0.0625,0.0624,0.9762,0.6779999999999999,0.0089,0.0,0.1379,0.1667,0.2083,0.0392,0.0513,0.053,0.0,0.0,not specified,block of flats,0.0458,Panel,No,0.0,0.0,0.0,0.0,-118.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
370876,Cash loans,F,Y,Y,0,148500.0,296280.0,18256.5,225000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.0060079999999999,-24379,365243,-9727.0,-4236,9.0,1,0,0,1,0,0,,2.0,2,2,TUESDAY,17,0,0,0,0,0,0,XNA,0.8122128300812933,0.710915939429578,0.6894791426446275,0.1423,0.1594,0.9781,0.7008,0.0086,0.0,0.2759,0.1667,0.2083,0.0885,0.1059,0.1096,0.0463,0.0894,0.145,0.1654,0.9782,0.7125,0.0087,0.0,0.2759,0.1667,0.2083,0.0905,0.1157,0.1141,0.0467,0.0946,0.1436,0.1594,0.9781,0.7048,0.0087,0.0,0.2759,0.1667,0.2083,0.09,0.1077,0.1115,0.0466,0.0913,reg oper account,block of flats,0.1103,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
261403,Cash loans,M,N,Y,2,67500.0,248760.0,24363.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-15638,-917,-3668.0,-4181,,1,1,1,1,0,0,,4.0,2,2,THURSDAY,14,0,1,1,0,1,1,Transport: type 4,,0.6033986429503106,0.7700870700124128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-3200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
364603,Cash loans,F,N,Y,0,157500.0,543037.5,30451.5,463500.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.018634,-21402,-3510,-9887.0,-4325,,1,1,0,1,0,0,Cleaning staff,1.0,2,2,TUESDAY,16,0,0,0,0,0,0,Other,,0.6860669501189121,0.4489622731076524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-284.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
260830,Cash loans,F,N,Y,0,112500.0,106659.0,6655.5,81000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-24243,365243,-8572.0,-4379,,1,0,0,1,1,0,,2.0,2,2,TUESDAY,8,0,0,0,0,0,0,XNA,,0.6397735566087567,0.41534714488434,0.1485,0.0782,0.9826,0.762,0.0282,0.16,0.1379,0.3333,0.375,0.0,0.121,0.1538,0.0,0.0,0.1513,0.0811,0.9826,0.7713,0.0285,0.1611,0.1379,0.3333,0.375,0.0,0.1322,0.1602,0.0,0.0,0.1499,0.0782,0.9826,0.7652,0.0284,0.16,0.1379,0.3333,0.375,0.0,0.1231,0.1565,0.0,0.0,reg oper account,block of flats,0.1364,Panel,No,0.0,0.0,0.0,0.0,-786.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159275,Revolving loans,M,Y,Y,0,135000.0,135000.0,6750.0,135000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.035792,-8452,-188,-3804.0,-755,2.0,1,1,1,1,0,0,,1.0,2,2,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.2718339086288969,0.5697445889788223,0.3740208032583212,0.0722,0.0738,0.9767,0.6804,0.0079,0.0,0.1379,0.1667,0.2083,0.0238,0.0588,0.0621,0.0,0.0,0.0735,0.0766,0.9767,0.6929,0.008,0.0,0.1379,0.1667,0.2083,0.0244,0.0643,0.0647,0.0,0.0,0.0729,0.0738,0.9767,0.6847,0.0079,0.0,0.1379,0.1667,0.2083,0.0243,0.0599,0.0632,0.0,0.0,reg oper account,block of flats,0.0488,"Stone, brick",No,0.0,0.0,0.0,0.0,-156.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
250430,Cash loans,M,Y,Y,2,315000.0,675000.0,53460.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.04622,-14970,-7613,-1098.0,-4547,4.0,1,1,0,1,0,0,Core staff,4.0,1,1,TUESDAY,11,0,0,0,0,1,1,Police,0.0899342464693708,0.6471431180257754,0.3077366963789207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,0.0,-1861.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
261635,Cash loans,M,Y,Y,0,45000.0,52128.0,5602.5,45000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-22026,365243,-6703.0,-4672,25.0,1,0,0,1,1,0,,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,XNA,,0.5832086321327691,0.8425892767430772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1113.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
339455,Cash loans,M,N,N,0,270000.0,788472.0,50521.5,688500.0,Other_B,Working,Secondary / secondary special,Single / not married,Rented apartment,0.014464,-18648,-857,-69.0,-1370,,1,1,0,1,0,0,Laborers,1.0,2,2,MONDAY,9,0,0,0,0,0,0,University,0.6714376704646157,0.5311392361921923,0.7281412993111438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
